Product_ID,Production_Date,PublicKey,PrivateKey,Seed,RandomSecret,TransactionHash,Transporter,Sales_Channel,City,Sale_Date,Sale_Price,Lot_Number,Return_Frequency,Counterfeit,Date,Traffic_Conditions,Supply_Chain_Disruptions,Weather_Conditions,Is_Counterfeit,Transporter_Risk,Sales_Channel_Risk,Predicted_Risk,Adjusted_Risk,Risk_Category
24b2fab5-e2eb-4c09-a0dc-5a5d2264e067,2023-02-17,493960,850569,652679,1466d7b2c44fe0039515968b25646ce9bc501d2306c5a340d9865cf5eac10eea,fb4c540b16ab3decd366fe8ff0f777666825a862a5315686cbd309a4833a8ef0,Logistica Italia,Amazon Italia,Napoli,2023-08-30,214.29,Lot-134,0,0,2018-01-01,Heavy,No Disruption,Stormy,0,0.24479166666666666,0.24875621890547264,0.24875621890547264,0.24875621890547264,Rischio Basso
d3892b15-4712-4cd0-8079-bed653ea3d21,2023-10-14,256455,868134,744369,79d84f74cbc825e251a55b0b715e09c4bcbf3a5410d6bead92a213e4b3ed0e74,76c55b87fa5d6d19a15724e9e6a518e2e574dddd8892f79004565b7ff831b169,National Cargo,Amazon Italia,Napoli,2023-02-08,180.37,Lot-181,0,0,2018-01-02,Normal,No Disruption,Snowy,0,0.26558265582655827,0.24875621890547264,0.26558265582655827,0.26558265582655827,Rischio Basso
3888aea3-96db-4d0a-ab47-d352a5917b29,2023-06-03,194895,149057,362832,87d2d0da7179ed13cb630cf714a0368d037368ea2c5fee78985a6197dec89b0a,1959d400e415f1b51317ce44fd325e4c795d91e28b65108880092e60389879ce,Euro Transport,Local Market,Palermo,2022-07-14,196.18,Lot-184,0,0,2018-01-03,Normal,No Disruption,Clear,0,0.24645892351274787,0.2603092783505155,0.2603092783505155,0.2603092783505155,Rischio Basso
464e55d3-ea5d-4438-ae39-f181d5799b6e,2023-08-30,311186,7953,690278,d8e8bb06fa630d16ee41bc406d7c5acd2bebf019c203e165b0dec0c1471c109c,aeff9f9b96cbab8489a33f45d425f895ccf08674a888572ff01304664fa7672d,Logistica Italia,Local Market,Verona,2023-02-18,210.17,Lot-187,0,0,2018-01-04,Normal,No Disruption,Clear,0,0.24479166666666666,0.2603092783505155,0.2603092783505155,0.2603092783505155,Rischio Basso
cbd6f212-22f3-425a-af4e-a8a3490ae392,2023-11-12,737657,339910,244320,bfdcc063dda0f69a5189bddece5edab21ecb6c9d8c8151a4f0292675a336a1a7,b5594c51a7200cd071da256778a01401533fedf0ad8e0a6037cf63c905cd7c8e,RapidWay Trans,Local Market,Torino,2022-07-03,268.03,Lot-177,0,0,2018-01-05,Normal,No Disruption,Clear,0,0.2560386473429952,0.2603092783505155,0.2603092783505155,0.2603092783505155,Rischio Basso
5f61d8a2-f03d-4d91-b8c1-a239def36e79,2023-12-28,193143,182460,873432,ee10272cef65fe278cacfd0a050d9fee76cf23d71184c1c216c5d96d476b7066,f4da53a6eca191354b89ae611267fcf1d3217589def3480d6b7fc58fd1316a81,RapidWay Trans,eBay,Verona,2023-09-13,317.02,Lot-171,0,0,2018-01-06,Normal,No Disruption,Clear,0,0.2560386473429952,0.2409972299168975,0.2560386473429952,0.2560386473429952,Rischio Basso
906e9810-d8f1-486b-b16a-693e80c66995,2023-10-17,922797,453862,893039,29a1e6f0a2f17a96240bdd412d3cdb7013d67f6dd677e623a130723718c1b983,7d8c970b592b0d9e6ac333631dd804cf58b43c453cae3415808f0dc57bc47cdf,RapidWay Trans,Mall Outlet,Roma,2023-09-10,242.23,Lot-111,1,0,2018-01-07,Normal,No Disruption,Clear,0,0.2560386473429952,0.2647058823529412,0.2647058823529412,0.2647058823529412,Rischio Basso
08afa46b-eda7-46c7-b90c-94f589d33cc3,2023-09-29,307828,859132,446038,a0d4bbd6712df18273cc7a7ba4bc17a5294ced41c5b60d8db296ac357f4bbff6,213a9ecda749fa83cc17a09a5e1850078541bb31d915063c767aaa2566372054,Global Move,Boutique Milano,Bologna,2022-09-14,196.6,Lot-106,1,0,2018-01-08,Normal,No Disruption,Clear,0,0.2402088772845953,0.4585152838427948,0.4585152838427948,1.0,Rischio Molto Alto
ab5f3291-b769-40ed-8523-56f70169e4b7,2023-12-29,355449,577053,932316,91ecb43fed62b2d38162f65779edecf9b9b1d7310cf26384b8283d481cb4b343,1824d21b01440c9c0f2f987edcf2326db3f279ed033154edb4dac4b8de725cba,Global Move,Boutique Milano,Verona,2024-01-27,232.39,Lot-157,1,0,2018-01-09,Normal,No Disruption,Rainy,0,0.2402088772845953,0.4585152838427948,0.4585152838427948,1.0,Rischio Molto Alto
e985aeb5-1527-4759-b7cd-6d838b03db3c,2023-01-11,467320,34175,608232,84209408af84ce6f693da75fae66a5bf8d6a76989db8ec8b76a714b21279f887,e3e306c5c47dcb5056288d5a7213089de2ff36c544a3d1e0c67aec0631ce0f95,National Cargo,Mall Outlet,Milano,2023-09-10,244.01,Lot-128,1,0,2018-01-10,Normal,No Disruption,Snowy,0,0.26558265582655827,0.2647058823529412,0.26558265582655827,0.26558265582655827,Rischio Basso
